Date (GMT);Wochentag;h0100;h0200;h0300;h0400;h0500;h0600;h0700;h0800;h0900;h1000;h1100;h1200;h1300;h1400;h1500;h1600;h1700;h1800;h1900;h2000;h2100;h2200;h2300;h2400
1;Wochentag;-12,11;-19,63;-0,04;-31,41;-46,97;-13,48;0,08;10,06;14,25;14,56;14,64;15,08;15,41;14,52;14,7;14,66;16,09;25,1;25,06;19,08;14,26;12,22;10,4;-0,33
2;Wochentag;-0,08;-0,07;15,17;0,01;-0,04;0,03;-8,67;4,46;9,9;14,29;16,73;22,31;23,03;22,4;27,07;29,33;33,85;45,96;49,82;47,62;35,98;27,26;27,7;14,27
3;Samstag;9,32;0,02;30,25;0,01;0;-0,01;-3,18;-0,05;0,05;9,62;11,54;14,68;14,31;11,18;12,01;14,36;17,55;28,94;29,59;29,42;28,92;28,66;29,74;24,9
4;Wochentag;22,34;17,93;24,68;16,38;17,38;16,38;26,61;37,63;39,09;41,51;40,46;40,97;40,72;41,92;42;43,1;46,7;56,78;58,84;49,23;44,32;40;35,08;30,03
5;Wochentag;30,02;30,57;16,11;30,29;30,63;29,64;29,67;38,82;40,76;40,02;33,99;31,22;30,06;29,99;30,73;37,38;40,32;45,96;45,71;39,57;32,92;29,15;28,46;26,97
6;Wochentag;24,97;24,65;11,23;25,06;26,1;26,95;31,43;45,98;47,91;48,91;50;51,22;50,15;51,46;50,88;48;47,14;51,07;47,42;44,83;33,86;27,42;27,02;22,11
7;Wochentag;21,92;19,35;13,7;14,93;15;19,04;26,17;38,34;37,7;32,99;31,95;33,59;34,37;35,08;34,45;38,12;32,47;36,49;31,82;32,93;29,44;28,62;26,71;15,93
8;Wochentag;11,55;13,47;-4,11;9,37;10,33;10,57;20,08;34,24;29,99;28,33;28,51;31,69;31,11;29,95;29,17;29,47;30,09;33,47;32,78;33,47;30,11;26,69;21,64;14,72
9;Wochentag;17,1;12,93;0,09;11,01;9,08;9,28;7,19;9,31;11,35;15,87;15,84;14,83;15,83;14,85;11,42;11,34;14,15;17,09;18,87;13,44;15,82;11,51;11,81;5,08
10;Samstag;0,05;-2,06;11,16;-5,06;-4,12;-0,74;-25,02;-16,94;-6,86;1,53;5,61;9,91;8,71;-0,09;-0,07;-1,8;0,61;13,51;11,44;14,88;9,63;9,29;10,18;-2
11;Wochentag;9,3;2,87;11,99;0,26;2,83;10,4;20,03;44,95;44,92;36,33;30,41;30,07;29,33;29,39;28,98;29,49;28,99;34,41;31,69;29,59;27,61;15,55;14,91;9,1
12;Wochentag;9,27;10,42;15,46;10,71;11,26;11,69;21,05;32,37;34,21;28,47;26,07;23,74;23,73;23,76;25,62;28,91;34,13;42,16;41,99;37,91;31,41;29,91;27,02;18,36
13;Wochentag;13,25;15,02;9,72;13,68;13,91;16,26;27,32;31,62;34,74;32,41;29,71;30,32;29,7;29,28;30,63;35,61;37,8;44,69;43,23;34,51;29,44;27,96;23,73;16,29
14;Wochentag;24,36;21,59;28,06;15,44;15,43;15,47;27,69;33,89;34,79;30,9;29,97;29,42;27,02;26,18;26,53;28,21;29,37;32,54;32,67;30,49;28,32;22,05;19,01;12,01
15;Wochentag;9,78;11,64;22,24;10,56;14,11;16,02;24,71;34,04;37,71;36,92;37,99;39,97;39,95;40,02;41,83;44,05;47,1;52,49;53,54;48,02;41,51;37,92;35,64;28,79
16;Wochentag;29,03;27,47;28,25;27,92;27,05;27,24;27,34;27,74;29,73;35,05;38,81;38,89;34,99;31,96;30,07;31,27;33,84;42,44;44,9;34,24;28,95;27,02;27,46;24,5
17;Samstag;23,35;21,19;29,92;22,31;22,32;22,11;14,12;15,17;19,07;24,94;27,2;28,22;28,15;27,85;28,17;29,91;30,44;38,42;42,46;39,8;30,54;30,4;31;28,42
18;Wochentag;27,92;27,76;31,53;28,41;28,07;29,63;42,87;52,07;56,49;52,38;48,84;47,95;44,97;47,95;47,72;47,43;48,19;52,16;56,26;52,96;45;40;37,53;31,07
19;Wochentag;31,93;31,08;29;29,97;31,02;34,81;39,4;53,39;58,88;58,8;57,34;57,46;53,53;52,93;52,38;52,1;51,04;58,55;66,65;56,02;50,01;42,73;42,02;36,93
20;Wochentag;31,08;32,07;28,86;31,2;33,27;35,07;43,71;54,12;58,39;56,6;54,96;53,99;48,49;49,59;48;50;51,02;55,47;57,1;51,95;43,22;38,98;38,38;31,51
21;Wochentag;29,67;29,93;24,44;28,96;29,38;31,09;36,92;48,42;53,79;50,52;50,53;49,89;52,44;54,01;51,54;49,99;51,99;59,2;56,99;53,81;45,57;39,86;37,26;30,96
22;Wochentag;31,18;29,97;19,04;28,78;29,39;32,49;37,52;54,28;53,56;57,68;56,97;55,75;49,94;47,77;46,58;44,09;45,18;49,98;47,99;46,98;41,48;35,12;34,21;31,14
23;Wochentag;28,5;27,04;25,54;24,29;25,93;24,99;23,94;24,26;27,6;29,53;30,26;37,81;37,27;34,37;30,07;30,25;34,52;36,09;37,86;34,56;30,04;27,97;28,11;24,99
24;Samstag;23,26;22,13;16,95;19,91;21,49;21,75;19,82;22,35;24,64;28,03;29,94;36,65;31,99;29,25;29,13;29,26;30,29;36,5;40,96;39,03;34,92;30,2;29,99;28,07
25;Wochentag;26,93;26,13;25,93;25,41;25,8;27,1;41,94;55,16;53,22;47,28;45,28;47,43;46,22;46;42,47;42,44;39,76;44,92;44,03;36,98;30,34;28,49;27,15;24,05
26;Wochentag;20,36;16,31;9,21;16,34;19,92;22,92;27,57;34,27;35,92;36,97;36,94;38,33;37,93;38,19;39,14;40,96;38,93;50,65;46,31;42,26;40;35,23;30,28;27,8
27;Wochentag;26,97;26,59;26,42;25,27;25,75;25,94;34,25;44,31;42,86;33,96;33,11;29,72;27,85;27,63;27,03;26,59;27;29,95;28,62;28,01;25,47;21,69;16,96;14,9
28;Wochentag;9,98;10,74;26,4;9,37;11,84;13,37;26,2;30;32,12;28,89;28,81;29,81;28,63;28,56;29,18;33,82;32,45;41,35;39,73;39;33,41;29,09;28,74;25,4
29;Wochentag;26,6;25,61;25,98;24,74;23,89;26,07;36,41;48,76;49,19;46,35;49,51;47,47;46;44,95;43,24;43,71;44;46,69;48,26;43,11;40,04;30,17;29,5;27,01
30;Wochentag;27,92;26,5;26,19;25,75;24,95;25,13;24,98;26,55;28,36;29,51;29,91;28,79;28,41;28,23;28,19;29,17;32,12;42,99;44,31;42,15;32,83;28,34;28,5;25,56
31;Samstag;27,04;26,32;28,05;25,63;25,78;25,99;24,26;26,48;27,84;29,09;34,15;37,74;34,95;28,24;28,21;28,47;29,89;36,85;36,55;29,99;28,59;28,36;28,18;26,92
32;Wochentag;27,23;26,38;30,08;26,21;26,24;27,47;37,85;53,35;53,13;54,92;51,35;50,96;45;44,04;44,98;45,74;47,99;58,95;54,92;51,45;45;43,05;40;34,68
33;Wochentag;29,46;28,84;32,24;28,08;28,21;30,08;40;60,43;60,08;58,79;55,77;53,37;46,2;48,76;47,85;51,7;51,54;60,07;65,52;52,89;47,99;44,25;43,93;30,87
34;Wochentag;34,9;31,14;27,75;30,06;30,49;33,55;42,64;50,92;61,76;62,59;61,1;58,94;54,87;53,53;51,45;49,88;49,92;59,37;75,87;62,73;49,89;42,66;44,04;36,41
35;Wochentag;39,96;33,29;27,29;32,44;32,92;38,91;45,96;63,79;62,06;60,28;52,03;49,96;50,52;47,44;44,5;43,54;44,04;50,75;48,13;44,94;41,89;37,9;30,45;29,01
36;Wochentag;28,73;28,14;-4,78;27,73;28,23;29,05;36;52,92;46,9;45,94;45,93;42,93;39,65;37,1;35,54;38,57;42,95;50,19;54,95;50,24;45;40,33;39,37;29,01
37;Wochentag;28,46;28;11,5;26,28;26,08;25,91;25,53;27,79;32,03;42,1;37,96;33,75;29,99;26,56;25,36;24,76;25,16;29,15;35,81;26,83;22,31;15,01;14,25;9,56
38;Samstag;-5;-1,12;25,19;-2,4;-7,32;-0,9;-9,95;-8,51;4,86;11,6;15,01;15,05;12,21;10,6;15,1;19,94;26,66;33,41;39,55;36,35;28,12;26,93;26,35;16,84
39;Wochentag;16,42;14,95;30,52;13,86;9,81;9,88;22,28;29,17;29,96;30;30;30,06;31,21;30,96;30,69;32,81;32,3;37,66;43,93;44,57;39,91;32,84;29,43;27,12
40;Wochentag;25,36;25,32;31,67;25,57;26,02;27,75;38,22;52,95;49;45,97;47,97;49,97;47,27;46,95;46;47;50,38;61,41;84,94;62,82;51,66;44,09;44,54;33,95
41;Wochentag;30,57;30,67;31,04;30,62;31,39;33,1;45,97;60,14;64,91;59,91;54,22;53,85;49,06;48,82;47,93;49,8;50,86;58,48;81,37;65,22;55,62;46;47,94;32,81
42;Wochentag;36,63;34,25;28,02;32,03;32,35;36,2;49,95;63,36;70,6;60,81;53,81;49,96;44,91;43,9;43,94;45,47;49,96;57,58;72;69,94;54,98;46,72;43,29;36,91
43;Wochentag;31,03;31,1;30,59;31,02;31,88;33;45,42;58,25;57,84;50,81;45,49;42,97;38,05;33,45;32,06;38,04;43,2;45,75;46,31;41,71;31,81;29,05;30,43;29,09
44;Wochentag;28,81;30,05;25,35;27,67;27,68;29,28;27,55;26,95;31,17;33,27;34,11;32,17;31,06;31,01;31,59;35,9;36,35;40,69;44,98;40,13;37,64;32,05;34,96;30,87
45;Samstag;30,59;30,01;29,79;30,01;29,28;30,03;27,67;27,68;30,52;27,33;26,38;26,39;25,93;24,11;23,69;25,57;26,64;31,24;40,04;39,2;31,83;30,58;32,5;28,45
46;Wochentag;26,72;26,02;30,03;26,26;25,89;27,02;39,97;47,83;44,91;41,46;35,07;32,87;30,59;30,38;30,57;35;40,68;46,05;54,15;47,45;42,99;34,17;31,34;30,01
47;Wochentag;29,09;29,27;28,07;30,07;30,03;31,08;44;55,03;55,55;49,98;47,91;45,53;43,31;43,32;43,51;44,54;44,92;49,6;62,51;56,92;49,94;42,72;40,08;31,97
48;Wochentag;30,3;30,09;22,85;29,75;31,03;33,58;47,91;54,62;57,8;53,94;54,02;50,44;47;42,98;42,92;43,99;44,71;51,3;58,85;56,68;44,94;37,49;32,27;30,09
49;Wochentag;30,9;29,95;25,58;28,55;29,93;30,95;36,93;47,93;50,45;49,94;47,07;43,96;37,61;36,69;36,28;40,9;44,87;49,59;48,99;40,03;37,39;31,01;30,03;27,44
50;Wochentag;25,5;24,33;31,08;23,2;23,48;25,2;29,14;31,42;32,8;31,12;30,06;28,17;26,66;26,5;27,17;31,09;32,17;42,95;49,1;44,61;39,34;31,08;31,02;29,69
51;Wochentag;28,57;25,51;14,09;24,94;24,96;24,88;25,08;25,69;26,08;27,03;28,26;27,33;26,17;25,98;25,97;29,44;31;40,96;49,15;43,42;38,62;37,47;34,2;31,93
52;Samstag;36,86;31,95;23,9;31,1;32,21;31,04;28,03;29,01;35,01;40,98;41,9;40,73;36,33;29,62;26,9;25,05;28,03;39,94;49,85;44,1;31,09;28,69;30,01;25,08
53;Wochentag;18,62;16,53;28,68;11,9;12,25;18,18;29,06;32,19;30,65;35,01;35,79;38,58;39,94;40,84;39,99;40,98;40,66;42,56;53;46,18;37,32;30,98;30,08;24,93
54;Wochentag;25,77;25,08;29,85;24;24,91;24,98;30,09;40,94;42,92;37,87;30,86;30,05;29;29,6;31,08;40,59;42,31;47,93;54,95;52,91;44,4;38;31,05;28,19
55;Wochentag;29,62;30,04;27,19;29,45;30,02;30,01;42,97;51,5;49,9;49,61;50;51,66;44,23;43,9;46,87;46,96;49,93;49,91;68,34;62,16;52,25;47,66;42,4;34,54
56;Wochentag;30,9;30,9;27,07;29,03;29,43;30,82;47,38;55,2;55,64;46,98;39,95;38,76;30,94;30,98;31,12;35,94;39,92;44,88;45,74;45,04;37,79;30,8;30,1;27,03
57;Wochentag;26,72;27,46;-0,05;27,92;28,02;29,88;41,91;44,02;43,07;42,43;39,92;39,39;35,59;35,72;34,93;40,68;41,62;47,94;64,06;57,82;47,19;40,07;37,3;31,88
58;Wochentag;28,48;28,04;15,1;28,04;27,3;27;25,81;29,73;38,95;40,02;35,92;29,38;25,89;24,87;24,83;25,57;30,08;40,05;44,77;37,88;27,01;23,87;22,49;15,13
59;Samstag;11,76;4,2;8,4;-0,09;-2;-1,91;-5,08;-0,13;3,91;9,7;12,65;18,39;14,36;11,15;10,52;11,67;11,6;15,27;25,69;25,65;24,8;15,28;23,94;16,64
60;Wochentag;18;15,38;15,37;13;12;17,85;31,49;38,96;35,99;30,75;28,46;27,09;25,89;26,1;25,85;26,69;28,5;38,56;47,44;45,92;29,83;26,59;24,23;12,14
61;Wochentag;13,76;9,79;24,02;9,48;13,77;15,65;27,01;31,92;30,16;26,68;24,55;23,01;21,9;24,33;26,08;29,97;34,8;44,32;55,9;57,69;40,09;30,16;28,72;24,92
62;Wochentag;23,31;16,25;27,1;15,5;18,04;25,52;29,64;38,03;34,07;28,12;25,73;17,99;15,57;15,68;21,64;25,79;26,67;34,93;47,48;43,68;31,36;26,62;26,51;23,75
63;Wochentag;25,02;24,28;26,02;24,06;24,49;25,91;33,92;42,99;42,61;37,99;33,07;30,21;28,69;28,08;29,3;33,91;37,92;45,71;66,24;68,5;53,99;41,99;39,44;30,48
64;Wochentag;30,48;29,52;15,92;26,05;27,47;32,9;42,05;50,96;49,22;49,08;48,34;46;39,44;36,8;33,72;39,51;41,26;45,98;59,61;62;42,98;34,48;34,05;29,66
65;Wochentag;34,09;29,84;26,78;24,06;24,65;25,06;25,47;27,18;28,84;26,22;24,53;24,22;22,5;22,93;24,49;26,11;29,34;38,04;45,78;44,44;34,92;28,27;28,08;23,19
66;Samstag;17,73;15,59;27,75;15,57;16,24;16,9;15,53;15,58;15,57;21,42;20,05;21,86;20,03;14,89;14,87;12,88;15,53;26,02;36,13;44,17;38,94;32,29;39,53;36,29
67;Wochentag;25,96;26,72;26,94;25,68;26,65;29,95;42,97;50,32;56,65;43,95;39,98;37,48;31,56;34,98;35,2;39,41;40;45,36;59,01;65,97;50,01;39,73;33,92;26,07
68;Wochentag;29,92;28,41;29,63;28,07;30,38;31,6;44,27;48,99;42,91;36,23;32,85;32,54;30,91;33,04;32,66;36,94;40,06;44,94;57,37;65,18;50,98;39,99;33,95;29,54
69;Wochentag;27,02;27,92;27,02;26,97;27,3;29;39,93;45;39,94;30,52;28,19;27,9;26,03;25,93;26,02;28,19;32;42,81;52,86;66,45;47,72;40,83;40,04;31
70;Wochentag;29,44;29,7;28,01;29,95;30,94;32,13;46,55;55,39;58,13;46,96;43,93;41,01;33,36;31,96;32,37;37,99;37,9;42,01;52,02;62;44,41;36,89;32,5;29,93
71;Wochentag;27,16;27,66;25,55;27,47;28,71;30,23;42,2;52,04;49,9;40,92;37,39;35,94;33,22;30,99;32,75;32,75;37,92;42,64;48,02;51,42;42,71;34,05;35,79;31,14
72;Wochentag;30,37;28,07;21,45;29,91;30,26;28,12;27,92;30,98;35,55;39,92;35,96;33,94;31,32;29,27;27,99;26,74;28,66;35,99;43,4;42,51;37,59;30,54;29,33;24,39
73;Samstag;31,27;26,66;22,17;25,38;25,37;25,05;23,74;24,48;26,01;29,38;26,01;26,07;24,04;23,65;22,43;23,3;24,51;31,73;42,48;41,96;34,54;27,18;27,04;23,32
74;Wochentag;22,6;22,52;27,81;21,64;22,95;25,12;40,06;43,93;40,44;31,37;26,02;25,42;24,02;23,76;23,94;25,24;27,29;38,45;49;56,51;40,6;33,99;30,01;23,93
75;Wochentag;22,89;22,68;28,95;23,02;23,46;25,42;33,43;43,51;40,23;29,9;27,06;26,57;25,32;25,12;26,42;29,37;32,99;43,52;47,92;55,64;44,21;33,86;33,56;28,11
76;Wochentag;27,42;28,51;30,99;27,84;27,51;29,46;38,91;47,44;43,95;33,92;30,12;32,39;30,91;30,57;31,08;35,18;39,26;43,45;52,07;60,04;50,63;41,56;35,1;29,31
77;Wochentag;29,29;29,53;27,71;28,3;28,16;31,08;41,96;50,93;46,01;33,61;30,33;29,97;29,51;29,64;30,26;31,97;35,83;43,91;54,8;65,67;48,51;42,91;41,94;30,48
78;Wochentag;32,21;32,39;21,97;29,46;28,66;29,61;39,22;45,42;42,95;31,04;49,41;30,42;25,75;25,73;25,92;28,49;30,56;38,45;46,09;55;49,84;37,55;32,69;29,41
79;Wochentag;32,24;29,05;28,6;28,73;28,36;27,11;29,02;29,59;35,92;33,08;34,03;39,94;37,44;30,24;29,91;29,94;29,9;30,63;36,69;33,99;32,26;26,43;27,6;23,42
80;Samstag;20,33;15,15;31,95;23,73;23,82;23,74;16,34;20,51;23,56;24,44;23,78;24,75;24,34;21,98;16,01;17,65;22,33;26,09;39,91;46,01;41,9;36,82;38,96;29,49
81;Wochentag;28,68;29,01;30,29;28,07;28,12;31,64;46,99;57,59;55,68;44,2;36,98;34,01;30,4;29,97;30,39;36,92;41,66;51,34;55,93;75,61;58,59;49,36;44,94;34
82;Wochentag;32,95;31,82;26,34;32,68;34,2;36,13;48,01;57,96;58,97;50,64;44,95;44,23;44,39;46,01;47,87;50,57;54,95;58,05;66,99;98,05;62,96;52,4;40,85;31,09
83;Wochentag;31,08;30,21;26,94;29,62;30,91;32,54;43,06;48,28;49,97;43,93;38,09;37,89;30,88;33,08;36,02;42,44;44,93;48,64;55,81;65,96;46,55;39,79;31,04;27,98
84;Wochentag;25,4;26,81;24,94;27,28;28,37;30,27;40,98;46,95;49,98;52,9;53;53,87;50,4;48,3;46,68;46,9;43,96;43,34;46,17;52,02;42,83;37,26;31,46;26,11
85;Wochentag;27,69;27,64;-20,07;26,5;27,19;29,34;32,67;36,25;43,02;39,98;40,02;38,94;32,28;29,85;29,45;29,52;30,61;40,03;45,44;46,49;38,2;32,31;30,82;27,33
